gesture,total_frames,best_video_id,best_frame_id,best_confidence_pct,best_lr,best_mlp,best_rf,worst_video_id,worst_frame_id,worst_confidence_pct,worst_lr,worst_mlp,worst_rf
1_FINGER_POINT,140,data_7,674_joints,99.33,1_FINGER_POINT,1_FINGER_POINT,1_FINGER_POINT,data_13,1351_joints,65.77,1_FINGER_POINT,1_FINGER_POINT,UNKNOWN
CLOSED_FIST,368,data_21,1085_joints,99.05,CLOSED_FIST,CLOSED_FIST,CLOSED_FIST,data_6,140_joints,62.05,CLOSED_FIST,CLOSED_FIST,UNKNOWN
HANG_LOOSE,69,data_20,380_joints,99.1,HANG_LOOSE,HANG_LOOSE,HANG_LOOSE,data_9,558_joints,67.4,HANG_LOOSE,HANG_LOOSE,UNKNOWN
OK,400,data_13,857_joints,99.63,OK,OK,OK,data_9,681_joints,64.08,OK,OK,UNKNOWN
OPEN_PALM,10364,data_2,21_joints,99.84,OPEN_PALM,OPEN_PALM,OPEN_PALM,data_3,578_joints,64.75,OPEN_PALM,OPEN_PALM,UNKNOWN
PEACE_SIGN,424,data_2,1006_joints,99.6,PEACE_SIGN,PEACE_SIGN,PEACE_SIGN,data_3,992_joints,65.21,PEACE_SIGN,PEACE_SIGN,UNKNOWN
ROCK_ON,264,data_4,198_joints,99.63,ROCK_ON,ROCK_ON,ROCK_ON,data_11,841_joints,67.56,ROCK_ON,ROCK_ON,UNKNOWN
THUMBS_UP,204,data_4,955_joints,99.7,THUMBS_UP,THUMBS_UP,THUMBS_UP,data_2,1495_joints,65.57,THUMBS_UP,THUMBS_UP,UNKNOWN
UNKNOWN,7857,data_4,112_joints,84.23,UNKNOWN,CLOSED_FIST,UNKNOWN,data_4,821_joints,20.68,UNKNOWN,UNKNOWN,UNKNOWN
